	gene_matrix_background
1104	100316809
1105	100316810
1106	100316811
1107	100316812
1108	100316814
1109	100316815
1110	100316816
1111	100316818
1112	100316819
1113	100316820
1114	100316821
1115	100316827
1116	100316831
1117	100316832
1118	100316833
1119	100316834
1120	100316839
1121	100316840
1122	100316841
1123	100316903
1124	100316932
1125	100317
1126	100322896
1127	100336
1128	100340
1129	100359413
1130	100379095
1131	100379145
1132	100379610
1133	100380944
1134	100382
1135	100383
1136	100384868
1137	100384890
1138	100415784
1139	100415785
1140	100415787
1141	100415901
1142	100415902
1143	100415912
1144	100415914
1145	100415915
1146	100415916
1147	100416706
1148	100416830
1149	100417125
1150	100417434
1151	100417514
1152	100417675
1153	100434
1154	100463512
1155	100463519
1156	100465
1157	100470
1158	100473
1159	100494
1160	100499512
1161	100499513
1162	100499514
1163	100499517
1164	100499518
1165	100499519
1166	100499521
1167	100499523
1168	100499526
1169	100499528
1170	100499529
1171	100499530
1172	100500713
1173	100502597
1174	100502601
1175	100502602
1176	100502619
1177	100502624
1178	100502630
1179	100502635
1180	100502636
1181	100502643
1182	100502653
1183	100502670
1184	100502694
1185	100502695
1186	100502697
1187	100502698
1188	100502700
1189	100502710
1190	100502723
1191	100502734
1192	100502736
1193	100502742
1194	100502745
1195	100502764
1196	100502766
1197	100502803
1198	100502819
1199	100502820
1200	100502825
1201	100502829
1202	100502831
1203	100502834
1204	100502841
1205	100502842
1206	100502846
1207	100502849
1208	100502861
1209	100502865
1210	100502868
1211	100502871
1212	100502874
1213	100502876
1214	100502880
1215	100502888
1216	100502896
1217	100502917
1218	100502920
1219	100502921
1220	100502923
1221	100502924
1222	100502932
1223	100502933
1224	100502936
1225	100502937
1226	100502941
1227	100502942
1228	100502944
1229	100502945
1230	100502946
1231	100502950
1232	100502953
1233	100502955
1234	100502959
1235	100502967
1236	100502973
1237	100502982
1238	100502985
1239	100503002
1240	100503007
1241	100503008
1242	100503019
1243	100503021
1244	100503033
1245	100503036
1246	100503040
1247	100503041
1248	100503043
1249	100503044
1250	100503053
1251	100503071
1252	100503072
1253	100503074
1254	100503082
1255	100503085
1256	100503099
1257	100503104
1258	100503106
1259	100503117
1260	100503120
1261	100503147
1262	100503157
1263	100503166
1264	100503167
1265	100503175
1266	100503178
1267	100503184
1268	100503185
1269	100503190
1270	100503197
1271	100503199
1272	100503230
1273	100503240
1274	100503242
1275	100503248
1276	100503265
1277	100503272
1278	100503280
1279	100503289
1280	100503292
1281	100503307
1282	100503311
1283	100503323
1284	100503332
1285	100503337
1286	100503353
1287	100503355
1288	100503361
1289	100503378
1290	100503380
1291	100503384
1292	100503386
1293	100503388
1294	100503390
1295	100503392
1296	100503393
1297	100503399
1298	100503427
1299	100503433
1300	100503434
1301	100503447
1302	100503460
1303	100503468
1304	100503469
1305	100503470
1306	100503471
1307	100503474
1308	100503481
1309	100503486
1310	100503490
1311	100503495
1312	100503498
1313	100503518
1314	100503519
1315	100503530
1316	100503536
1317	100503538
1318	100503545
1319	100503549
1320	100503565
1321	100503572
1322	100503580
1323	100503582
1324	100503583
1325	100503584
1326	100503592
1327	100503595
1328	100503605
1329	100503609
1330	100503613
1331	100503619
1332	100503620
1333	100503622
1334	100503630
1335	100503636
1336	100503652
1337	100503659
1338	100503670
1339	100503676
1340	100503690
1341	100503704
1342	100503724
1343	100503727
1344	100503733
1345	100503743
1346	100503751
1347	100503754
1348	100503759
1349	100503783
1350	100503790
1351	100503794
1352	100503799
1353	100503802
1354	100503810
1355	100503812
1356	100503816
1357	100503823
1358	100503827
1359	100503830
1360	100503831
1361	100503842
1362	100503849
1363	100503856
1364	100503859
1365	100503866
1366	100503868
1367	100503869
1368	100503872
1369	100503879
1370	100503882
1371	100503884
1372	100503890
1373	100503895
1374	100503901
1375	100503908
1376	100503915
1377	100503923
1378	100503924
1379	100503949
1380	100503961
1381	100503962
1382	100503964
1383	100503965
1384	100503969
1385	100503970
1386	100503992
1387	100503999
1388	100504007
1389	100504014
1390	100504018
1391	100504026
1392	100504029
1393	100504049
1394	100504056
1395	100504061
1396	100504066
1397	100504069
1398	100504070
1399	100504101
1400	100504104
1401	100504112
1402	100504114
1403	100504121
1404	100504141
1405	100504145
1406	100504154
1407	100504156
1408	100504162
1409	100504164
1410	100504166
1411	100504169
1412	100504177
1413	100504178
1414	100504180
1415	100504183
1416	100504184
1417	100504191
1418	100504200
1419	100504202
1420	100504207
1421	100504221
1422	100504231
1423	100504232
1424	100504234
1425	100504235
1426	100504239
1427	100504249
1428	100504255
1429	100504262
1430	100504263
1431	100504265
1432	100504267
1433	100504268
1434	100504283
1435	100504285
1436	100504292
1437	100504304
1438	100504308
1439	100504312
1440	100504323
1441	100504325
1442	100504333
1443	100504346
1444	100504347
1445	100504350
1446	100504360
1447	100504361
1448	100504375
1449	100504377
1450	100504399
1451	100504400
1452	100504412
1453	100504421
1454	100504429
1455	100504444
1456	100504446
1457	100504453
1458	100504455
1459	100504457
1460	100504461
1461	100504464
1462	100504467
1463	100504474
1464	100504477
1465	100504486
1466	100504488
1467	100504491
1468	100504493
1469	100504501
1470	100504512
1471	100504518
1472	100504524
1473	100504525
1474	100504539
1475	100504549
1476	100504561
1477	100504568
1478	100504586
1479	100504589
1480	100504591
1481	100504594
1482	100504601
1483	100504616
1484	100504626
1485	100504628
1486	100504632
1487	100504637
1488	100504641
1489	100504642
1490	100504652
1491	100504653
1492	100504661
1493	100504663
1494	100504675
1495	100504687
1496	100504689
1497	100504692
1498	100504701
1499	100504703
1500	100504710
1501	100504714
1502	100504715
1503	100504717
1504	100504720
1505	100504727
1506	100504728
1507	100504733
1508	100504734
1509	100504740
1510	100505034
1511	100505096
1512	100505397
1513	100515
1514	100526460
1515	100526461
1516	100526462
1517	100526463
1518	100526464
1519	100526465
1520	100526466
1521	100526467
1522	100526468
1523	100526469
1524	100526470
1525	100526471
1526	100526472
1527	100526473
1528	100526474
1529	100526475
1530	100526476
1531	100526477
1532	100526478
1533	100526479
1534	100526480
1535	100526481
1536	100526482
1537	100526483
1538	100526485
1539	100526486
1540	100526488
1541	100526489
1542	100526490
1543	100526491
1544	100526492
1545	100526494
1546	100526495
1547	100526496
1548	100526497
1549	100526498
1550	100526499
1551	100526500
1552	100526501
1553	100526502
1554	100526504
1555	100526505
1556	100526506
1557	100526507
1558	100526508
1559	100526509
1560	100526510
1561	100526511
1562	100526512
1563	100526513
1564	100526514
1565	100526515
1566	100526516
1567	100526517
1568	100526518
1569	100526519
1570	100526520
1571	100526521
1572	100526524
1573	100526525
1574	100526526
1575	100526527
1576	100526528
1577	100526529
1578	100526530
1579	100526531
1580	100526532
1581	100526533
1582	100526534
1583	100526535
1584	100526536
1585	100526538
1586	100526539
1587	100526540
1588	100526541
1589	100526542
1590	100526543
1591	100526544
1592	100526545
1593	100526546
1594	100526547
1595	100526548
1596	100526549
1597	100526550
1598	100526552
1599	100526553
1600	100526554
1601	100526555
1602	100526556
1603	100526557
1604	100526558
1605	100526559
1606	100526560
1607	100526561
1608	100526562
1609	100526796
1610	100529074
1611	100529075
1612	100529076
1613	100529077
1614	100529079
1615	100529082
1616	100532
1617	100532730
1618	100534273
1619	100534633
1620	100535
1621	100554
1622	100559
1623	100561
1624	100568458
1625	100568459
1626	100579137
1627	100579147
1628	100579151
1629	100604
1630	100608
1631	100609
1632	100616072
1633	100616095
1634	100628567
1635	100628568
1636	100628570
1637	100628571
1638	100628572
1639	100628573
1640	100628574
1641	100628575
1642	100628576
1643	100628577
1644	100628578
1645	100628580
1646	100628581
1647	100628582
1648	100628583
1649	100628586
1650	100628589
1651	100628590
1652	100628591
1653	100628592
1654	100628593
1655	100628594
1656	100628595
1657	100628596
1658	100628597
1659	100628598
1660	100628599
1661	100628600
1662	100628601
1663	100628602
1664	100628603
1665	100628604
1666	100628605
1667	100628606
1668	100628607
1669	100628608
1670	100628609
1671	100628610
1672	100628611
1673	100628612
1674	100628613
1675	100628614
1676	100628615
1677	100628616
1678	100628618
1679	100628619
1680	100628620
1681	100628621
1682	100628622
1683	100628623
1684	100628624
1685	100628625
1686	100628627
1687	100628628
1688	100628629
1689	100628630
1690	100637
1691	100642166
1692	100647
1693	100653389
1694	100675
1695	100678
1696	100683
1697	100689
1698	100689703
1699	100702
1700	100705
1701	100710
1702	100727
1703	100732
1704	100736249
1705	100737
1706	100740
1707	100756
1708	100763
1709	100764
1710	100855
1711	100859931
1712	100859962
1713	100861471
1714	100861472
1715	100861473
1716	100861474
1717	100861475
1718	100861477
1719	100861478
1720	100861479
1721	100861480
1722	100861481
1723	100861482
1724	100861483
1725	100861484
1726	100861486
1727	100861487
1728	100861488
1729	100861489
1730	100861490
1731	100861491
1732	100861492
1733	100861493
1734	100861494
1735	100861495
1736	100861496
1737	100861497
1738	100861498
1739	100861499
1740	100861500
1741	100861501
1742	100861502
1743	100861503
1744	100861570
1745	100861571
1746	100861572
1747	100861598
1748	100861610
1749	100861623
1750	100861635
1751	100861637
1752	100861640
1753	100861647
1754	100861667
1755	100861673
1756	100861679
1757	100861686
1758	100861691
1759	100861698
1760	100861702
1761	100861708
1762	100861715
1763	100861719
1764	100861730
1765	100861743
1766	100861749
1767	100861753
1768	100861755
1769	100861756
1770	100861794
1771	100861817
1772	100861821
1773	100861825
1774	100861839
1775	100861851
1776	100861861
1777	100861869
1778	100861870
1779	100861879
1780	100861880
1781	100861891
1782	100861899
1783	100861901
1784	100861906
1785	100861973
1786	100861987
1787	100861998
1788	100862015
1789	100862019
1790	100862020
1791	100862025
1792	100862042
1793	100862059
1794	100862066
1795	100862072
1796	100862075
1797	100862085
1798	100862088
1799	100862114
1800	100862115
1801	100862118
1802	100862126
1803	100862175
1804	100862180
1805	100862192
1806	100862202
1807	100862203
1808	100862245
1809	100862247
1810	100862258
1811	100862261
1812	100862314
1813	100862326
1814	100862342
1815	100862345
1816	100862349
1817	100862359
1818	100862360
1819	100862365
1820	100862366
1821	100862368
1822	100862371
1823	100862383
1824	100862388
1825	100862394
1826	100862398
1827	100873092
1828	100873094
1829	100885823
1830	100885824
1831	100885825
1832	100885826
1833	100885827
1834	100885828
1835	100885829
1836	100885830
1837	100885831
1838	100885832
1839	100885833
1840	100885834
1841	100885835
1842	100885836
1843	100885837
1844	100885838
1845	100885839
1846	100885840
1847	100885841
1848	100885842
1849	100885843
1850	100885844
1851	100885845
1852	100900
1853	100910
1854	100929
1855	100952
1856	100972
1857	100978
1858	100986
1859	100996932
1860	100996933
1861	101023
1862	101055632
1863	101055663
1864	101055666
1865	101055670
1866	101055671
1867	101055672
1868	101055693
1869	101055711
1870	101055731
1871	101055744
1872	101055745
1873	101055759
1874	101055766
1875	101055769
1876	101055773
1877	101055798
1878	101055840
1879	101055854
1880	101055862
1881	101055863
1882	101055890
1883	101055902
1884	101055951
1885	101055983
1886	101055987
1887	101056017
1888	101056065
1889	101056072
1890	101056091
1891	101056094
1892	101056099
1893	101056102
1894	101056121
1895	101056136
1896	101056138
1897	101056149
1898	101056178
1899	101056185
1900	101056194
1901	101056204
1902	101056205
1903	101056210
1904	101056225
1905	101056232
1906	101056236
1907	101056241
1908	101056408
1909	101095
1910	101100
1911	101113
1912	101118
1913	101122
1914	101142
1915	101148
1916	101185
1917	101187
1918	101197
1919	101202
1920	101202683
1921	101202684
1922	101206
1923	101214
1924	101240
1925	101243624
1926	101314
1927	101320
1928	101351
1929	101358
1930	101359
1931	101401
1932	101434
1933	101437
1934	101447999
1935	101471
1936	101476
1937	101488
1938	101488143
1939	101489
1940	101490
1941	101497
1942	101502
1943	101513
1944	101521
1945	101533
1946	101540
1947	101543
1948	101544
1949	101565
1950	101568
1951	101592
1952	101602
1953	101604
1954	101612
1955	101613
1956	101631
1957	101669761
1958	101685
1959	101694
1960	101700
1961	101706
1962	101739
1963	101744
1964	101772
1965	101786
1966	101809
1967	101831
1968	101835
1969	101861
1970	101867
1971	101869
1972	101883
1973	101943
1974	101966
1975	101985
1976	101994
1977	102015
1978	102022
1979	102032
1980	102058
1981	102060
1982	102075
1983	102093
1984	102098
1985	102103
1986	102115
1987	102124
1988	102132
1989	102141
1990	102162
1991	102182
1992	102193
1993	102209
1994	102216272
1995	102238433
1996	102247
1997	102278
1998	102294
1999	102308570
2000	102323
2001	102334
2002	102339
2003	102371
2004	102402
2005	102414
2006	102423
2007	102436
2008	102442
2009	102443350
2010	102443351
2011	102448
2012	102462
2013	102465148
2014	102465149
2015	102465150
2016	102465169
2017	102465170
2018	102465171
2019	102465172
2020	102465173
2021	102465174
2022	102465175
2023	102465176
2024	102465177
2025	102465178
2026	102465179
2027	102465180
2028	102465181
2029	102465182
2030	102465183
2031	102465184
2032	102465185
2033	102465186
2034	102465187
2035	102465188
2036	102465189
2037	102465190
2038	102465191
2039	102465192
2040	102465193
2041	102465194
2042	102465195
2043	102465196
2044	102465197
2045	102465198
2046	102465199
2047	102465200
2048	102465201
2049	102465202
2050	102465203
2051	102465204
2052	102465205
2053	102465206
2054	102465207
2055	102465208
2056	102465209
2057	102465210
2058	102465211
2059	102465212
2060	102465213
2061	102465214
2062	102465215
2063	102465216
2064	102465217
2065	102465218
2066	102465219
2067	102465220
2068	102465221
2069	102465222
2070	102465223
2071	102465224
2072	102465225
2073	102465226
2074	102465227
2075	102465228
2076	102465229
2077	102465230
2078	102465258
2079	102465309
2080	102465310
2081	102465311
