gene_id,CRV01,CRV02,CRV03,CRV04,CRV05,CRV06,CRV07,MN01,MN02,MN03,MN04,MN05,MN06,MN07,MN08,SAL01,SAL02,SAL03,SAL04,SAL05,SAL06,SAL07,SAL08
Max|Max,1558,2043,2203,1615,2716,1794,2126,1752,1404,2638,1997,1988,2717,3098,1458,1550,1275,1790,1057,859,1629,1331,1425
Fut8|Fut8,2246,2966,2025,2379,1834,3119,1753,2018,1650,3018,1308,2747,2964,3025,1518,1769,1392,2498,1767,1383,1593,1853,1805
Mpp5|Mpp5,3953,3944,2372,2654,5384,3904,3875,2664,2895,3874,2946,2704,670,5298,5315,3085,2240,2998,2346,3647,2361,2649,2850
Gphn|Gphn,1209,1315,1176,1007,1589,1576,1548,929,865,1182,1059,888,2090,1483,1409,872,743,1042,783,1130,1132,627,1315
Atp6v1d|Atp6v1d,6939,9482,7697,7232,9608,8608,7800,8160,7117,11849,7937,11965,11749,10264,17272,7300,6515,6709,5691,6288,8209,8749,7834
Plek2|Plek2,39,105,0,0,0,15,0,0,0,0,0,121,599,231,933,0,24,13,10,97,0,0,53
Eif2s1|Eif2s1,7389,11201,7667,7838,9604,8669,8134,8028,5524,8662,7080,8925,8420,5482,8322,8462,5643,7558,4886,6589,7297,9345,8251
Tmem229b|Tmem229b,2033,3164,2365,3142,2286,2944,2602,2220,1327,2134,1137,3115,2308,1158,2255,1787,1924,2835,2187,1716,2023,1368,1758
Plekhh1|Plekhh1,352,44,87,238,200,538,380,485,659,169,310,205,7,447,129,125,25,88,39,24,46,112,1013
Gm35844|Gm35844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
Pigh|Pigh,3094,4617,3258,3856,3368,3843,4280,2805,2979,4220,2752,4275,4058,3692,3181,3658,2461,3587,3164,4253,3633,3608,3879
9230116L04Rik|9230116L04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
Rdh12|Rdh12,219,238,131,96,246,224,72,137,141,342,90,252,491,303,197,42,127,46,145,117,821,0,145
Rdh11|Rdh11,1307,2189,1634,1967,1597,1865,1612,2074,1235,2631,1164,1796,2127,1255,2325,1544,1455,1742,1361,2076,1690,1481,1515
Arg2|Arg2,257,53,26,34,94,82,293,92,76,191,18,244,461,473,169,78,76,65,111,169,552,84,96
Gm40462|Gm40462,33,100,4,61,0,0,20,0,60,45,14,21,0,498,0,41,4,19,23,4,12,32,22
Vti1b|Vti1b,6156,7201,5368,5561,7517,7705,7495,6154,4463,7260,5281,6816,7647,6919,9635,5867,4410,6194,4369,5435,5850,7649,6713
Zfyve26|Zfyve26,466,315,366,434,143,551,429,75,545,324,213,391,813,981,200,319,308,391,172,382,237,377,311
Gm36132|Gm36132,0,0,21,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,10
9430078K24Rik|9430078K24Rik,10,0,0,0,0,0,0,0,0,41,0,0,0,0,20,18,0,0,0,0,0,0,0
Rad51b|Rad51b,36,121,187,151,85,100,135,124,64,216,189,156,150,117,181,93,38,66,73,220,54,134,107
Gm36048|Gm36048,0,0,0,0,120,26,48,0,0,42,0,0,0,0,0,27,0,0,0,23,7,35,104
Gm3596|Gm3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2310015A10Rik|2310015A10Rik,168,497,437,272,270,497,554,334,134,218,210,434,204,181,377,198,116,226,183,361,370,385,343
Actn1|Actn1,721,656,750,622,567,602,571,488,435,820,536,637,655,1185,2332,840,424,672,455,500,521,434,604
Dcaf5|Dcaf5,809,1133,903,1200,1010,699,802,661,996,1830,1068,719,960,1238,876,1174,735,841,667,567,792,1199,516
Mir1843a|Mir1843a,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0
Scarna3b|Scarna3b,0,0,0,0,0,0,2,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0
Galnt16|Galnt16,480,267,221,210,176,439,206,211,130,124,219,114,0,485,58,102,131,183,101,445,105,185,502
Gm30076|Gm30076,6,0,17,8,0,0,0,0,0,0,5,4,0,0,16,16,0,0,0,0,20,0,0
Exd2|Exd2,1552,2404,2001,1785,2049,3583,2006,2439,1660,3433,1460,3525,2732,3358,3367,2108,1652,1897,1542,1667,1692,2765,2151
LOC108168014|LOC108168014,13,0,0,0,0,0,5,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0
Zfp36l1|Zfp36l1,39958,58265,44638,51566,51860,51718,53497,48628,43786,73114,37607,53537,34884,70644,49626,46412,30011,40607,33593,35565,41362,52719,35306
Erh|Erh,4401,7232,5080,5996,4642,6152,5299,5186,3343,5696,3885,5143,4047,4324,5968,6255,4044,5528,4103,4735,5749,6605,6161
Slc39a9|Slc39a9,3998,6005,3870,4180,5879,5369,5578,3562,2303,4506,3339,5079,4083,2663,4888,4204,2988,3495,3413,4137,3865,4938,3764
Susd6|Susd6,1613,2354,1601,1963,2476,2027,1779,1004,1071,1929,1505,1752,1347,2506,1773,1963,1283,1744,1490,956,1691,1561,1439
Slc8a3|Slc8a3,18,0,7,0,0,126,58,0,18,0,0,0,0,0,17,0,0,0,15,5,12,0,45
Gm3693|Gm3693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smoc1|Smoc1,89,34,93,117,3,273,58,157,136,68,34,0,0,0,162,98,14,34,27,44,0,71,96
Mir3067|Mir3067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc10a1|Slc10a1,177,248,88,76,180,217,199,100,100,221,93,68,182,140,152,114,89,110,124,284,104,351,211
Gm20337|Gm20337,197,57,94,64,0,161,138,38,43,175,33,8,24,172,31,95,72,26,49,69,99,132,155
Srsf5|Srsf5,11743,13704,10549,11563,10355,13823,12131,5512,5381,10317,6032,8828,7721,10480,6149,12310,8650,11033,7365,14104,9165,16017,10945
Med6|Med6,1325,1892,1383,1537,1534,1776,1647,1515,1147,1884,1109,1656,1369,1809,1649,1840,1010,1599,1026,1307,1329,1647,1789
Ttc9|Ttc9,194,264,138,128,174,207,184,70,261,99,19,54,8,241,538,139,112,235,72,8,68,102,163
Map3k9|Map3k9,235,154,42,248,70,133,255,204,221,149,7,102,0,0,345,231,289,303,143,170,44,131,342
LOC108168017|LOC108168017,0,10,0,12,51,0,0,0,38,157,0,0,0,215,126,37,25,0,20,0,7,0,84
Pcnx|Pcnx,564,427,325,789,542,506,955,394,493,907,457,478,525,905,3943,700,415,525,364,443,647,349,908
Gm4787|Gm4787,0,41,14,0,0,22,7,12,0,6,0,0,0,0,59,18,3,13,0,0,0,0,0
Cox16|Cox16,1310,2310,1633,1584,1827,1795,1664,1593,1110,2309,1494,1628,744,1697,1562,1663,1242,1591,1269,1463,1561,1947,1639
Adam21|Adam21,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synj2bp-cox16|Synj2bp-cox16,198,165,300,419,0,231,271,0,115,252,107,277,0,0,599,238,51,132,115,0,197,195,255
Adam4|Adam4,30,16,32,4,0,0,0,0,0,31,0,0,0,0,0,3,4,3,23,108,0,0,0
Synj2bp|Synj2bp,6402,5918,5070,5167,6373,6448,6293,5138,3357,7183,4319,5341,5233,10284,5468,4974,3736,5162,3553,4366,3876,4404,5634
Sipa1l1|Sipa1l1,1014,1387,1330,2106,1508,868,1922,1493,990,1005,1044,1606,308,2326,1263,1288,948,858,1098,747,1171,1199,1399
Gm30916|Gm30916,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,29,2
Dcaf4|Dcaf4,1329,1500,1934,1452,2083,1558,1085,1726,635,1194,1167,1516,1847,2048,1193,1718,1552,1863,1212,1893,1583,917,1637
Zfyve1|Zfyve1,936,609,682,571,1435,626,1045,1077,772,1614,1048,1063,451,1363,942,685,580,926,718,856,1275,1426,601
Rgs6|Rgs6,122,0,0,44,280,139,21,0,0,0,0,0,0,0,0,12,23,112,11,49,0,76,106
1700085C21Rik|1700085C21Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm31308|Gm31308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Gm31187|Gm31187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105244955|LOC105244955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
